updateTime,重庆,台湾,海南,山西,河南,福建,广东,北京,江苏,浙江,贵州,江西,湖北,澳门,甘肃,天津,安徽,辽宁,吉林,内蒙古,宁夏,陕西,湖南,黑龙江,新疆,四川,西藏,青海,云南,上海,河北,广西,香港,山东
2020-01-22,6,1,4,1,5,1,26,10,0,10,1,2,444,1,0,4,1,2,0,0,1,0,4,0,0,5,0,0,1,9,1,2,0,2
2020-01-23,9,1,5,1,5,5,32,22,5,27,3,3,444,2,2,4,9,3,1,0,1,3,9,2,2,8,0,0,1,16,1,5,2,6
2020-01-24,27,1,8,1,9,10,53,36,9,43,3,7,549,2,2,8,15,4,3,2,2,5,24,4,2,15,0,0,5,20,2,13,2,15
2020-01-25,57,3,19,6,32,18,78,41,18,62,4,18,730,2,4,10,39,16,4,7,3,15,43,9,3,28,0,1,11,33,8,23,5,27
2020-01-26,75,4,22,9,83,35,111,68,33,104,5,36,1058,5,7,14,60,21,4,7,4,22,69,15,4,44,0,1,16,40,13,36,5,46
2020-01-27,110,5,33,13,128,59,151,80,47,128,7,48,1423,6,14,22,70,27,6,11,7,35,100,21,5,69,0,6,26,53,18,46,8,75
2020-01-28,132,8,40,20,168,80,207,91,70,173,9,72,2714,7,19,24,106,34,8,15,11,46,143,30,10,90,0,6,44,66,33,51,8,95
2020-01-29,147,8,43,27,206,84,277,111,99,296,9,109,3554,7,24,27,152,39,9,16,12,56,221,38,13,108,0,6,55,96,48,58,10,130
2020-01-30,182,9,46,35,278,101,354,114,129,428,12,162,4903,7,26,31,200,41,14,18,17,63,277,44,14,142,1,8,70,112,65,78,10,158
2020-01-31,211,10,52,39,352,120,436,139,168,538,29,240,5806,7,29,32,237,48,14,20,21,87,332,59,17,177,1,8,83,135,82,87,12,184
2020-02-01,247,10,62,47,422,144,535,168,202,599,29,286,7153,7,40,41,297,64,17,23,26,101,389,80,18,207,1,9,93,169,96,100,13,206
2020-02-02,275,10,64,56,493,159,632,191,236,661,38,333,9074,8,40,48,340,70,23,27,28,116,463,95,21,231,1,11,105,182,104,111,14,230
2020-02-03,312,10,72,66,566,179,725,212,271,724,46,391,11177,8,51,60,408,74,31,34,31,128,521,121,24,254,1,13,114,203,113,127,15,259
2020-02-04,344,11,80,74,675,194,813,228,308,829,58,476,13522,10,57,67,480,81,42,35,34,142,593,155,29,282,1,15,119,219,126,139,17,275
2020-02-05,376,11,91,81,764,205,895,253,341,895,64,548,16678,10,57,69,530,89,54,42,34,165,661,190,32,301,1,17,124,243,135,150,21,307
2020-02-06,400,16,106,90,851,215,970,274,373,954,71,600,19665,10,62,78,591,94,59,46,40,173,711,227,36,321,1,18,133,257,157,168,24,347
2020-02-07,415,16,117,96,914,224,1034,297,408,1006,81,661,22112,10,67,81,665,99,65,50,43,184,772,277,39,344,1,18,136,277,172,172,25,386
