updateTime,重庆,台湾,海南,山西,河南,福建,广东,北京,江苏,浙江,贵州,江西,湖北,澳门,甘肃,天津,安徽,辽宁,吉林,内蒙古,宁夏,陕西,湖南,黑龙江,新疆,四川,西藏,青海,云南,上海,河北,广西,香港,山东
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,2,1,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-25,0,0,0,0,0,0,2,2,1,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-26,0,0,0,0,0,0,2,2,1,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-27,0,0,0,0,0,0,3,2,1,1,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
2020-01-28,0,0,0,0,0,0,4,4,1,3,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
2020-01-29,1,0,0,1,1,0,5,4,1,3,1,3,87,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,1
2020-01-30,1,0,1,1,2,0,10,4,1,4,1,5,90,0,0,0,2,1,1,0,0,0,2,0,0,1,0,0,0,5,0,2,0,1
2020-01-31,1,0,1,1,3,0,11,5,5,14,2,7,141,0,0,0,3,1,1,1,0,0,2,0,0,1,0,0,1,9,0,2,0,2
2020-02-01,3,0,1,1,3,0,14,9,6,21,2,9,168,0,0,0,5,1,1,1,0,0,8,2,0,3,0,0,2,10,0,2,0,3
2020-02-02,7,0,4,2,10,0,15,9,7,32,2,12,267,0,3,1,7,1,1,1,0,0,16,2,0,11,0,0,3,10,3,2,0,6
2020-02-03,8,0,4,2,16,1,21,12,8,43,2,18,300,0,3,1,14,1,1,1,1,0,22,2,0,14,0,0,5,10,3,7,0,7
2020-02-04,9,0,5,4,27,3,30,23,12,62,2,20,397,0,4,2,20,2,1,1,1,2,31,4,0,14,0,0,5,12,4,10,0,11
2020-02-05,15,0,5,5,47,11,49,24,23,78,9,27,536,0,6,2,23,4,2,3,1,6,54,7,0,24,0,3,5,15,6,13,0,15
2020-02-06,24,1,8,12,56,14,69,31,34,94,6,37,712,1,6,2,34,5,4,4,1,9,81,8,0,31,0,3,7,25,13,14,0,27
2020-02-07,31,1,10,15,86,20,88,33,43,123,6,45,867,1,9,2,47,7,4,5,5,17,112,12,0,42,0,3,13,30,22,17,0,37
2020-02-08,39,1,14,20,116,24,112,34,51,175,7,55,1218,1,12,4,59,8,4,5,15,20,156,13,0,60,0,3,17,41,30,17,0,44
2020-02-09,50,1,19,22,153,35,141,37,71,201,7,74,1480,1,15,4,72,12,12,5,13,25,186,14,0,71,0,3,18,44,34,18,0,63
2020-02-10,66,1,19,25,191,39,167,44,81,242,10,105,1854,1,17,8,88,13,13,5,13,30,208,30,0,80,0,3,19,48,41,24,0,66
2020-02-11,72,1,20,30,218,45,212,48,93,270,17,128,2310,1,24,10,105,19,18,5,22,32,247,28,3,85,0,5,20,52,48,33,0,80
2020-02-12,87,1,27,33,246,53,275,56,125,321,18,152,2686,2,29,11,127,20,22,6,24,43,304,31,3,92,1,9,26,57,54,32,1,92
2020-02-13,128,1,30,33,296,57,314,69,139,360,27,170,3459,3,39,21,157,22,24,6,24,46,339,33,6,104,1,11,27,62,68,33,1,105
2020-02-14,139,2,43,38,357,63,362,80,157,403,28,187,3900,3,39,31,193,29,25,6,24,54,364,47,6,114,1,11,36,90,87,36,1,136
2020-02-15,184,2,39,42,391,71,410,98,186,428,41,210,4821,3,49,37,221,31,26,7,33,60,425,68,10,119,1,13,42,124,101,44,1,156
2020-02-16,187,2,52,49,440,82,465,108,218,456,46,240,5666,5,54,45,255,40,30,8,33,71,464,79,12,131,1,13,42,140,105,49,2,173
2020-02-17,214,2,59,51,509,90,524,114,258,507,57,275,6693,5,58,46,280,43,34,8,35,79,498,85,12,156,1,13,47,161,122,53,2,191
2020-02-18,235,2,79,60,522,93,565,122,280,535,66,310,7943,5,62,48,361,53,36,8,42,89,527,111,12,169,1,15,57,177,136,69,2,211
2020-02-19,254,2,84,63,573,112,606,147,318,604,70,362,9336,5,65,54,413,55,37,10,42,102,561,120,20,188,1,16,60,186,152,86,5,231
2020-02-20,274,2,86,73,637,126,642,153,356,633,72,433,10521,6,71,59,474,59,43,16,44,118,634,136,22,217,1,16,79,199,169,90,6,254
2020-02-21,299,2,95,76,736,149,690,169,373,679,77,489,11881,6,76,62,539,61,45,17,48,134,661,175,24,231,1,18,96,211,184,97,5,281
2020-02-22,316,2,104,79,830,162,728,178,401,719,90,555,13690,6,76,65,597,66,52,23,48,149,692,204,25,250,1,18,107,227,203,104,6,302
2020-02-23,328,2,106,89,868,170,755,189,418,760,102,613,15343,6,78,81,637,73,54,27,56,163,714,222,28,261,1,18,115,249,219,106,11,321
2020-02-24,335,5,116,91,943,183,786,198,452,782,102,645,16748,6,80,87,663,80,60,34,58,173,731,227,30,276,1,18,128,261,234,112,19,343
2020-02-25,349,5,124,96,1002,199,822,215,458,808,104,683,18971,7,80,91,712,83,63,34,61,186,768,243,30,289,1,18,129,268,248,134,19,355
2020-02-26,373,5,129,104,1033,218,851,235,478,867,104,719,20969,7,81,96,744,88,65,38,65,192,783,249,34,307,1,18,144,272,261,147,24,377
2020-02-27,384,5,131,106,1068,228,890,248,498,932,112,754,23383,8,81,102,792,93,67,42,68,195,804,270,43,321,1,18,150,276,274,161,24,387
2020-02-28,402,6,133,109,1112,235,935,257,515,975,112,790,26403,8,82,102,821,93,73,45,68,199,830,283,52,338,1,18,156,279,277,168,30,405
2020-02-29,422,9,147,113,1170,243,983,271,523,1016,112,811,28993,8,82,109,868,96,75,49,69,207,846,301,62,351,1,18,157,287,282,176,30,421
2020-03-01,442,9,149,115,1198,247,1016,276,536,1046,112,831,31536,8,84,111,873,103,78,52,69,208,866,342,64,365,1,18,163,290,294,181,36,443
2020-03-02,450,12,149,117,1205,255,1059,282,543,1069,114,850,33934,8,85,111,917,103,83,54,69,216,887,356,66,386,1,18,168,292,296,192,36,460
