updateTime,重庆,台湾,海南,山西,河南,福建,广东,北京,江苏,浙江,贵州,江西,湖北,澳门,甘肃,天津,安徽,辽宁,吉林,内蒙古,宁夏,陕西,湖南,黑龙江,新疆,四川,西藏,青海,云南,上海,河北,广西,香港,山东
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-01-26,0,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2020-01-27,0,0,1,0,1,0,0,1,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2020-01-28,0,0,1,0,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2020-01-29,0,0,1,0,2,0,0,1,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
2020-01-30,0,0,1,0,2,0,0,1,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0
2020-01-31,0,0,1,0,2,0,0,1,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0
2020-02-01,1,0,1,0,2,0,0,1,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0
2020-02-02,1,0,1,0,2,0,0,1,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0
2020-02-03,2,0,1,0,2,0,0,1,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0
2020-02-04,2,0,1,0,2,0,0,1,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0
2020-02-05,2,0,1,0,2,0,0,1,0,0,1,0,479,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0
2020-02-06,2,0,1,0,2,0,0,1,0,0,1,0,549,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0
2020-02-07,2,0,2,0,3,0,1,1,0,0,1,0,618,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0
2020-02-08,2,0,2,0,4,0,1,2,0,0,1,0,699,0,1,1,0,0,1,0,0,0,1,5,0,1,0,0,0,1,1,0,1,0
2020-02-09,2,0,3,0,6,0,1,2,0,0,1,0,780,0,1,1,1,0,1,0,0,0,1,6,0,1,0,0,0,1,2,1,1,1
2020-02-10,2,0,3,0,6,0,1,2,0,0,1,1,871,0,2,1,3,0,1,0,0,0,1,7,0,1,0,0,0,1,2,1,1,1
2020-02-11,2,0,3,0,7,0,1,3,0,0,1,1,974,0,2,2,4,0,1,0,0,0,1,8,0,1,0,0,0,1,2,1,1,1
2020-02-12,3,0,3,0,8,0,1,3,0,0,1,1,1068,0,2,2,4,1,1,0,0,0,2,8,0,1,0,0,0,1,2,1,1,2
2020-02-13,3,0,4,0,10,0,2,3,0,0,1,1,1310,0,2,3,5,1,1,0,0,0,2,9,1,1,0,0,0,1,3,2,1,2
2020-02-14,5,0,4,0,11,0,2,3,0,0,1,1,1318,0,2,3,6,1,1,0,0,0,2,11,1,1,0,0,0,1,3,2,1,2
2020-02-15,5,0,4,0,13,0,2,4,0,0,1,1,1457,0,2,3,6,1,1,0,0,0,2,11,1,1,0,0,0,1,3,2,1,2
2020-02-16,5,1,4,0,13,0,2,4,0,0,1,1,1596,0,2,3,6,1,1,0,0,0,3,11,1,3,0,0,0,1,3,2,1,2
2020-02-17,5,1,4,0,16,0,4,4,0,0,1,1,1696,0,2,3,6,1,1,0,0,0,3,11,1,3,0,0,0,1,3,2,1,2
2020-02-18,5,1,4,0,19,0,4,4,0,0,2,1,1789,0,2,3,6,1,1,0,0,0,4,11,1,3,0,0,0,1,4,2,1,3
2020-02-19,5,1,4,0,19,0,5,4,0,0,2,1,1921,0,2,3,6,1,1,0,0,0,4,12,1,3,0,0,1,2,4,2,2,3
2020-02-20,5,1,4,0,19,1,5,4,0,1,2,1,2029,0,2,3,6,1,1,0,0,1,4,12,1,3,0,0,1,2,5,2,2,4
2020-02-21,6,1,4,0,19,1,5,4,0,1,2,1,2144,0,2,3,6,1,1,0,0,1,4,12,1,3,0,0,2,2,5,2,2,4
2020-02-22,6,1,4,0,19,1,5,4,0,1,2,1,2250,0,2,3,6,1,1,0,0,1,4,12,2,3,0,0,2,3,6,2,2,4
2020-02-23,6,1,4,0,19,1,6,4,0,1,2,1,2346,0,2,3,6,1,1,0,0,1,4,12,2,3,0,0,2,3,6,2,2,4
2020-02-24,6,1,5,0,19,1,6,4,0,1,2,1,2495,0,2,3,6,1,1,0,0,1,4,12,2,3,0,0,2,3,6,2,2,5
2020-02-25,6,1,5,0,19,1,7,4,0,1,2,1,2563,0,2,3,6,1,1,0,0,1,4,12,2,3,0,0,2,3,6,2,2,6
2020-02-26,6,1,5,0,19,1,7,4,0,1,2,1,2615,0,2,3,6,1,1,0,0,1,4,12,2,3,0,0,2,3,6,2,2,6
2020-02-27,6,1,5,0,20,1,7,5,0,1,2,1,2641,0,2,3,6,1,1,0,0,1,4,13,2,3,0,0,2,3,6,2,2,6
2020-02-28,6,1,5,0,20,1,7,7,0,1,2,1,2682,0,2,3,6,1,1,0,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-02-29,6,1,5,0,21,1,7,8,0,1,2,1,2727,0,2,3,6,1,1,0,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-01,6,1,5,0,22,1,7,8,0,1,2,1,2761,0,2,3,6,1,1,0,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-02,6,1,5,0,22,1,7,8,0,1,2,1,2803,0,2,3,6,1,1,0,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-03,6,1,5,0,22,1,7,8,0,1,2,1,2835,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-04,6,1,5,0,22,1,7,8,0,1,2,1,2871,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-05,6,1,6,0,22,1,7,8,0,1,2,1,2902,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-06,6,1,6,0,22,1,7,8,0,1,2,1,2931,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-07,6,1,6,0,22,1,7,8,0,1,2,1,2959,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,2,6
2020-03-08,6,1,6,0,22,1,7,8,0,1,2,1,2986,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,3,6
2020-03-09,6,1,6,0,22,1,8,8,0,1,2,1,3008,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,3,6
2020-03-10,6,1,6,0,22,1,8,8,0,1,2,1,3024,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,3,6
2020-03-11,6,1,6,0,22,1,8,8,0,1,2,1,3046,0,2,3,6,1,1,1,0,1,4,13,3,3,0,0,2,3,6,2,3,6
2020-03-12,6,1,6,0,22,1,8,8,0,1,2,1,3056,0,2,3,6,1,1,1,0,2,4,13,3,3,0,0,2,3,6,2,3,6
2020-03-13,6,1,6,0,22,1,8,8,0,1,2,1,3062,0,2,3,6,1,1,1,0,2,4,13,3,3,0,0,2,3,6,2,4,7
2020-03-14,6,1,6,0,22,1,8,8,0,1,2,1,3075,0,2,3,6,1,1,1,0,2,4,13,3,3,0,0,2,3,6,2,4,7
2020-03-15,6,1,6,0,22,1,8,8,0,1,2,1,3085,0,2,3,6,1,1,1,0,2,4,13,3,3,0,0,2,3,6,2,4,7
2020-03-16,6,1,6,0,22,1,8,8,0,1,2,1,3099,0,2,3,6,1,1,1,0,2,4,13,3,3,0,0,2,3,6,2,4,7
2020-03-17,6,1,6,0,22,1,8,8,0,1,2,1,3111,0,2,3,6,1,1,1,0,3,4,13,3,3,0,0,2,3,6,2,4,7
