updateTime,吉林,青海,四川,辽宁,台湾,甘肃,江苏,北京,湖南,重庆,宁夏,黑龙江,安徽,香港,贵州,天津,福建,浙江,河北,山西,云南,广西,河南,内蒙古,新疆,江西,澳门,上海,广东,陕西,海南,西藏,山东,湖北
2020-01-22,0.0,0,5.0,2.0,1.0,0,0,10.0,4.0,6.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,10.0,1.0,1.0,1.0,2.0,5.0,0,0,2.0,1.0,9.0,26.0,0,4.0,0,2.0,444.0
2020-01-23,1.0,0,8.0,3.0,1.0,2.0,5.0,22.0,9.0,9.0,1.0,2.0,9.0,2.0,3.0,4.0,5.0,27.0,1.0,1.0,1.0,5.0,5.0,0.0,2.0,3.0,2.0,16.0,32.0,3.0,5.0,0,6.0,444.0
2020-01-24,3.0,0.0,15.0,4.0,1.0,2.0,9.0,36.0,24.0,27.0,2.0,4.0,15.0,2.0,3.0,8.0,10.0,43.0,2.0,1.0,5.0,13.0,9.0,2.0,2.0,7.0,2.0,20.0,53.0,5.0,8.0,0,15.0,549.0
2020-01-25,4.0,1.0,28.0,16.0,3.0,4.0,18.0,41.0,43.0,57.0,3.0,9.0,39.0,5.0,4.0,10.0,18.0,62.0,8.0,6.0,11.0,23.0,32.0,7.0,3.0,18.0,2.0,33.0,78.0,15.0,19.0,0,27.0,730.0
2020-01-26,4.0,1.0,44.0,21.0,4.0,7.0,33.0,68.0,69.0,75.0,4.0,15.0,60.0,5.0,5.0,14.0,35.0,104.0,13.0,9.0,16.0,36.0,83.0,7.0,4.0,36.0,5.0,40.0,111.0,22.0,22.0,0,46.0,1058.0
2020-01-27,6.0,6.0,69.0,27.0,5.0,14.0,47.0,80.0,100.0,110.0,7.0,21.0,70.0,8.0,7.0,22.0,59.0,128.0,18.0,13.0,26.0,46.0,128.0,11.0,5.0,48.0,6.0,53.0,151.0,35.0,33.0,0,75.0,1423.0
2020-01-28,8.0,6.0,90.0,34.0,8.0,19.0,70.0,91.0,143.0,132.0,11.0,30.0,106.0,8.0,9.0,24.0,80.0,173.0,33.0,20.0,44.0,51.0,168.0,15.0,10.0,72.0,7.0,66.0,207.0,46.0,40.0,0,95.0,2714.0
2020-01-29,9.0,6.0,108.0,39.0,8.0,24.0,99.0,111.0,221.0,147.0,12.0,38.0,152.0,10.0,9.0,27.0,84.0,296.0,48.0,27.0,55.0,58.0,206.0,16.0,13.0,109.0,7.0,96.0,277.0,56.0,43.0,0.0,130.0,3554.0
2020-01-30,14.0,8.0,142.0,41.0,9.0,26.0,129.0,114.0,277.0,182.0,17.0,44.0,200.0,10.0,12.0,31.0,101.0,428.0,65.0,35.0,70.0,78.0,278.0,18.0,14.0,162.0,7.0,112.0,354.0,63.0,46.0,1.0,158.0,4903.0
2020-01-31,14.0,8.0,177.0,48.0,10.0,29.0,168.0,139.0,332.0,211.0,21.0,59.0,237.0,12.0,29.0,32.0,120.0,538.0,82.0,39.0,83.0,87.0,352.0,20.0,17.0,240.0,7.0,135.0,436.0,87.0,52.0,1.0,184.0,5806.0
